"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"XA101";"Conn_Poncho_SinBorde";1;"Conn_Poncho2P_2x_20x2";;;
2;"P2,P4,P1";"PinHeader_1x03_P2.54mm_Horizontal";3;"Conn_01x03";;;
3;"Q2,Q1";"TO-92L";2;"BC548";;;
4;"P8";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
5;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"470";;;
6;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"220";;;
7;"P9";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
8;"P7";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
9;"P6,P5";"PinHeader_1x02_P2.54mm_Horizontal";2;"Conn_01x02";;;
10;"P3";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
11;"K1";"Relay_SPDT_SANYOU_SRD_Series_Form_C";1;"SANYOU_SRD_Form_C";;;
12;"J1";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Screw_Terminal_01x03";;;
13;"D2";"LED_D5.0mm";1;"LED";;;
14;"D1";"D_DO-35_SOD27_P10.16mm_Horizontal";1;"1N4148";;;
15;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
